city_name,experience_0_3,experience_3_6,experience_6_plus,sum,date_deal
Antalya,,,2,2,2025-10-01
Belgrade,1,1,2,4,2025-10-01
Dubai,1,2,14,17,2025-10-01
Pattaya,,2,2,4,2025-10-01
Абакан,,,18,18,2025-10-01
Аксу,3,2,,5,2025-10-01
Актау,,,1,1,2025-10-01
Актобе,15,9,34,58,2025-10-01
Алапаевск,,2,9,11,2025-10-01
Алексеевка,,,4,4,2025-10-01
Алматы,5,4,20,29,2025-10-01
Алушта,1,,6,7,2025-10-01
Альметьевск,,1,14,15,2025-10-01
Анапа,,,20,20,2025-10-01
Ангарск,3,1,3,7,2025-10-01
Анжеро-Судженск,,2,5,7,2025-10-01
Арсеньев,2,,4,6,2025-10-01
Архангельск,3,4,8,15,2025-10-01
Астана,31,21,88,140,2025-10-01
Астрахань,,,6,6,2025-10-01
Атырау,4,2,8,14,2025-10-01
Ачинск,1,,18,19,2025-10-01
Аша,,,7,7,2025-10-01
Байкалово с.,,,4,4,2025-10-01
Баку,1,,2,3,2025-10-01
Балашов,,,6,6,2025-10-01
Барановичи,,,2,2,2025-10-01
Бахчисарай,,2,3,5,2025-10-01
Белгород,5,7,51,63,2025-10-01
Белогорск (Амурская область),,1,5,6,2025-10-01
Белогорск (Крым),1,,2,3,2025-10-01
Бердск,3,4,25,32,2025-10-01
Березники (Пермский край),1,,1,2,2025-10-01
Березовский (Кемеровская область),,,3,3,2025-10-01
Бийск,,1,17,18,2025-10-01
Бирск,,1,2,3,2025-10-01
Бирюч,2,,2,4,2025-10-01
Бишкек,7,6,25,38,2025-10-01
Благовещенск,10,7,63,80,2025-10-01
Богородицк,,,1,1,2025-10-01
Борисоглебск,,1,3,4,2025-10-01
Брянск,4,1,45,50,2025-10-01
Валуйки,,,6,6,2025-10-01
Вейделевка пгт.,,1,2,3,2025-10-01
Великий Устюг,,1,1,2,2025-10-01
Верхняя Салда,1,,1,2,2025-10-01
Владивосток,10,9,123,142,2025-10-01
Владикавказ,,1,7,8,2025-10-01
Владимир,,,3,3,2025-10-01
Волгоград,,,1,1,2025-10-01
Волгоград 2,,1,1,2,2025-10-01
Вологда,3,1,42,46,2025-10-01
Волоконовка пгт.,,,3,3,2025-10-01
Волхов,,,1,1,2025-10-01
Воронеж,7,6,99,112,2025-10-01
Воскресенск,3,4,25,32,2025-10-01
Всеволожск,,,6,6,2025-10-01
Выкса,,,11,11,2025-10-01
Геленджик,,,14,14,2025-10-01
Глазов,,,1,1,2025-10-01
Горно-Алтайск,2,,18,20,2025-10-01
Горячий Ключ,,,7,7,2025-10-01
Губкин,1,2,5,8,2025-10-01
Гусь-Хрустальный,,1,1,2,2025-10-01
Далматово,,,2,2,2025-10-01
Дмитров,,,15,15,2025-10-01
Душанбе,,1,,1,2025-10-01
Евпатория,,1,9,10,2025-10-01
Ейск,,,9,9,2025-10-01
