city_name,experience_0_3,experience_3_6,experience_6_plus,sum,date_deposit
Belgrade,,,3,3,2025-11-01
Dubai,3,2,15,20,2025-11-01
Northern Cyprus,,,2,2,2025-11-01
Pattaya,,,3,3,2025-11-01
Абакан,1,1,23,25,2025-11-01
Аксу,2,1,1,4,2025-11-01
Актау,2,2,1,5,2025-11-01
Актобе,13,11,37,61,2025-11-01
Алапаевск,2,3,6,11,2025-11-01
Алексеевка,1,,4,5,2025-11-01
Алматы,10,4,18,32,2025-11-01
Алушта,,,3,3,2025-11-01
Альметьевск,3,1,13,17,2025-11-01
Анапа,1,1,12,14,2025-11-01
Ангарск,1,1,6,8,2025-11-01
Анжеро-Судженск,,2,5,7,2025-11-01
Арсеньев,,2,4,6,2025-11-01
Архангельск,2,2,6,10,2025-11-01
Астана,31,18,96,145,2025-11-01
Астрахань,,,7,7,2025-11-01
Атырау,5,3,8,16,2025-11-01
Ачинск,1,,17,18,2025-11-01
Аша,,,4,4,2025-11-01
Байкалово с.,,,3,3,2025-11-01
Баку,2,1,2,5,2025-11-01
Балашов,,,3,3,2025-11-01
Барановичи,,1,2,3,2025-11-01
Белгород,9,7,49,65,2025-11-01
Белогорск (Амурская область),,1,5,6,2025-11-01
Белогорск (Крым),,2,1,3,2025-11-01
Бердск,9,3,29,41,2025-11-01
Березники (Пермский край),2,,1,3,2025-11-01
Березовский (Кемеровская область),,,5,5,2025-11-01
Бийск,,1,12,13,2025-11-01
Бирск,1,,1,2,2025-11-01
Бирюч,,,2,2,2025-11-01
Бишкек,9,5,34,48,2025-11-01
Благовещенск,8,8,67,83,2025-11-01
Борисоглебск,2,1,3,6,2025-11-01
Брянск,6,2,50,58,2025-11-01
Валуйки,,,7,7,2025-11-01
Вейделевка пгт.,,,3,3,2025-11-01
Великий Устюг,,1,1,2,2025-11-01
Верхняя Салда,2,,1,3,2025-11-01
Владивосток,12,8,122,142,2025-11-01
Владикавказ,1,,9,10,2025-11-01
Владимир,,,2,2,2025-11-01
Волгоград 2,,,3,3,2025-11-01
Вологда,3,2,38,43,2025-11-01
Волоконовка пгт.,,,2,2,2025-11-01
Волхов,,,1,1,2025-11-01
Воронеж,6,9,95,110,2025-11-01
Воскресенск,4,2,21,27,2025-11-01
Всеволожск,1,1,2,4,2025-11-01
Выкса,,,8,8,2025-11-01
Геленджик,,1,19,20,2025-11-01
Глазов,,,1,1,2025-11-01
Горно-Алтайск,4,1,18,23,2025-11-01
Горячий Ключ,,,3,3,2025-11-01
Губкин,1,1,7,9,2025-11-01
Гусь-Хрустальный,1,2,1,4,2025-11-01
Далматово,,,2,2,2025-11-01
Дмитров,1,,15,16,2025-11-01
Дубна,,,1,1,2025-11-01
Евпатория,1,2,5,8,2025-11-01
Ейск,1,1,10,12,2025-11-01
Екатеринбург,11,11,129,151,2025-11-01
Елизово,,,5,5,2025-11-01
Златоуст,1,3,21,25,2025-11-01
Ижевск,6,4,41,51,2025-11-01
Ирбит,,1,11,12,2025-11-01
Иркутск,3,2,17,22,2025-11-01
Ишим,4,3,36,43,2025-11-01
Йошкар-Ола,6,,28,34,2025-11-01
Казань,12,9,92,113,2025-11-01
Калининград,13,5,84,102,2025-11-01
Калуга,4,,36,40,2025-11-01
Каменск-Уральский,,,2,2,2025-11-01
Камышлов,1,1,11,13,2025-11-01
Кемерово,6,4,75,85,2025-11-01
Кириши,1,1,14,16,2025-11-01
Киров,,,3,3,2025-11-01
Кисловодск,,,1,1,2025-11-01
Клин,,1,2,3,2025-11-01
Ковров,3,4,30,37,2025-11-01
Кокшетау,9,2,23,34,2025-11-01
Коломна,,2,18,20,2025-11-01
Комсомольск-на-Амуре,6,,39,45,2025-11-01
Короча,,,2,2,2025-11-01
Корсаков,1,,4,5,2025-11-01
Коряжма,,,1,1,2025-11-01
Костанай,12,20,62,94,2025-11-01
Кострома,5,3,43,51,2025-11-01
Котлас,,,6,6,2025-11-01
Краснодар,4,1,63,68,2025-11-01
Красноярск,19,9,144,172,2025-11-01
Кумертау,,,2,2,2025-11-01
Курган,8,3,34,45,2025-11-01
Курск,4,6,4,14,2025-11-01
Куса,,,1,1,2025-11-01
Кызыл,10,2,11,23,2025-11-01
Кыштым,,1,4,5,2025-11-01
Лангепас,2,,4,6,2025-11-01
Ленинск-Кузнецкий,1,,4,5,2025-11-01
Липецк,1,1,26,28,2025-11-01
Лянтор,,,1,1,2025-11-01
Майкоп,,2,7,9,2025-11-01
Махачкала,,6,12,18,2025-11-01
Мегион,,,3,3,2025-11-01
Междуреченск,,1,5,6,2025-11-01
Мелеуз,,,13,13,2025-11-01
Миасс,3,1,31,35,2025-11-01
Минск,2,3,64,69,2025-11-01
Михайловск,1,1,1,3,2025-11-01
Мичуринск,1,1,4,6,2025-11-01
Можга,2,,6,8,2025-11-01
Москва,47,47,370,464,2025-11-01
Муравленко,,1,3,4,2025-11-01
Муром,2,,25,27,2025-11-01
Набережные Челны,4,5,23,32,2025-11-01
Надым,,,8,8,2025-11-01
Назрань,2,1,6,9,2025-11-01
Нальчик,1,3,13,17,2025-11-01
Невинномысск,,,6,6,2025-11-01
Нерчинск,,,2,2,2025-11-01
Нефтекамск,,,8,8,2025-11-01
Нефтеюганск,,1,16,17,2025-11-01
Нижневартовск,5,,21,26,2025-11-01
Нижний Новгород (филиал),2,10,5,17,2025-11-01
Нижний Тагил,5,5,49,59,2025-11-01
Нижняя Тура,1,2,2,5,2025-11-01
Новодвинск,,,9,9,2025-11-01
Новокузнецк (главный),1,3,14,18,2025-11-01
Новороссийск,1,,17,18,2025-11-01
Новосибирск (главный),25,21,125,171,2025-11-01
Новочеркасск,1,,3,4,2025-11-01
Новый Оскол,,,3,3,2025-11-01
Новый Уренгой,,,27,27,2025-11-01
Норильск,1,,10,11,2025-11-01
Ноябрьск,1,,2,3,2025-11-01
Нягань,1,,2,3,2025-11-01
Обнинск,,1,8,9,2025-11-01
Озерск,,,11,11,2025-11-01
Октябрьский (Башкортостан),,,4,4,2025-11-01
Октябрьский (Пермский край),,,3,3,2025-11-01
Омск,7,8,68,83,2025-11-01
Оренбург,8,2,18,28,2025-11-01
Орехово-Зуево,,,2,2,2025-11-01
Орёл,2,,5,7,2025-11-01
Остров,,,3,3,2025-11-01
Павлодар,8,8,16,32,2025-11-01
