city_name,experience_0_3,experience_3_6,experience_6_plus,sum,date_slice
Antalya,3,,19,22,2025-11-01
Belgrade,22,8,30,60,2025-11-01
Dubai,83,48,166,297,2025-11-01
Huahin,5,,1,6,2025-11-01
Northern Cyprus,3,5,2,10,2025-11-01
Pattaya,2,4,7,13,2025-11-01
Phuket,14,11,9,34,2025-11-01
Tbilisi,1,,,1,2025-11-01
Абакан,10,1,25,36,2025-11-01
Аксу,3,2,3,8,2025-11-01
Актау,6,5,2,13,2025-11-01
Актобе,43,15,44,102,2025-11-01
Алапаевск,4,3,8,15,2025-11-01
Алексеевка,3,,4,7,2025-11-01
Алматы,29,13,28,70,2025-11-01
Алушта,2,1,7,10,2025-11-01
Альметьевск,10,1,19,30,2025-11-01
Анапа,20,2,28,50,2025-11-01
Анапа 2,16,,17,33,2025-11-01
Ангарск,6,4,7,17,2025-11-01
Анжеро-Судженск,4,2,6,12,2025-11-01
Арсеньев,2,2,5,9,2025-11-01
Архангельск,10,5,11,26,2025-11-01
Астана,62,27,110,199,2025-11-01
Астрахань,2,,8,10,2025-11-01
Атырау,14,3,11,28,2025-11-01
Ачинск,3,,17,20,2025-11-01
Аша,4,1,7,12,2025-11-01
Байкалово с.,1,,4,5,2025-11-01
Баку,12,6,8,26,2025-11-01
Балашов,3,3,8,14,2025-11-01
Барановичи,2,1,5,8,2025-11-01
Бахчисарай,1,1,3,5,2025-11-01
Белгород,44,12,75,131,2025-11-01
Белогорск (Амурская область),4,1,6,11,2025-11-01
Белогорск (Крым),,2,4,6,2025-11-01
Белокуриха,7,,,7,2025-11-01
Бердск,20,5,36,61,2025-11-01
Березники (Пермский край),3,,2,5,2025-11-01
Березовский (Кемеровская область),2,,6,8,2025-11-01
Бийск,12,3,19,34,2025-11-01
Бирск,2,,2,4,2025-11-01
Бирюч,,,2,2,2025-11-01
Бишкек,47,15,63,125,2025-11-01
Благовещенск,30,10,77,117,2025-11-01
Борисоглебск,5,1,3,9,2025-11-01
Брянск,25,7,64,96,2025-11-01
Валуйки,,,7,7,2025-11-01
Вейделевка пгт.,,,3,3,2025-11-01
Великий Устюг,,1,1,2,2025-11-01
Верхняя Салда,2,,1,3,2025-11-01
Владивосток,60,14,148,222,2025-11-01
Владикавказ,17,2,35,54,2025-11-01
Владимир,5,,3,8,2025-11-01
Волгоград 2,1,2,6,9,2025-11-01
Вологда,8,2,44,54,2025-11-01
Волоконовка пгт.,,,3,3,2025-11-01
Волхов,2,1,1,4,2025-11-01
Воронеж,18,13,113,144,2025-11-01
Воскресенск,9,3,24,36,2025-11-01
Воткинск,,1,2,3,2025-11-01
Всеволожск,3,3,6,12,2025-11-01
Выкса,2,,12,14,2025-11-01
Геленджик,19,5,35,59,2025-11-01
Глазов,,2,2,4,2025-11-01
Горно-Алтайск,20,3,29,52,2025-11-01
Горячий Ключ,4,1,10,15,2025-11-01
Губкин,1,2,7,10,2025-11-01
Гусь-Хрустальный,1,3,3,7,2025-11-01
Далматово,,,2,2,2025-11-01
Дмитров,7,,18,25,2025-11-01
Домодедово,,3,10,13,2025-11-01
Дубна,3,,1,4,2025-11-01
Душанбе,12,2,11,25,2025-11-01
Евпатория,4,2,11,17,2025-11-01
Ейск,2,1,12,15,2025-11-01
Екатеринбург,45,20,178,243,2025-11-01
Елизово,1,,5,6,2025-11-01
Ереван,11,1,6,18,2025-11-01
Златоуст,4,5,25,34,2025-11-01
Ижевск,19,8,47,74,2025-11-01
Излучинск пгт.,1,1,,2,2025-11-01
Ирбит,,2,14,16,2025-11-01
Иркутск,15,7,28,50,2025-11-01
Ишим,14,4,46,64,2025-11-01
Йошкар-Ола,13,1,31,45,2025-11-01
Казань,44,12,114,170,2025-11-01
Калининград,39,12,121,172,2025-11-01
Калуга,12,,54,66,2025-11-01
Каменск-Уральский,4,,3,7,2025-11-01
Камышлов,4,1,12,17,2025-11-01
Качканар,7,,,7,2025-11-01
Кемерово,32,4,90,126,2025-11-01
Кириши,3,1,15,19,2025-11-01
Киров,9,,8,17,2025-11-01
Кисловодск,6,1,2,9,2025-11-01
Клин,2,1,2,5,2025-11-01
Ковров,11,5,34,50,2025-11-01
Кокшетау,16,4,31,51,2025-11-01
Коломна,4,2,24,30,2025-11-01
Комсомольск-на-Амуре,25,6,52,83,2025-11-01
Короча,,1,2,3,2025-11-01
Корсаков,1,,8,9,2025-11-01
Коряжма,1,,1,2,2025-11-01
Костанай,42,24,72,138,2025-11-01
Кострома,12,5,58,75,2025-11-01
Котлас,2,,10,12,2025-11-01
Краснодар,23,3,102,128,2025-11-01
Красноярск,56,11,191,258,2025-11-01
Кумертау,,1,3,4,2025-11-01
Курган,37,5,41,83,2025-11-01
Курск,10,6,8,24,2025-11-01
Куса,2,,4,6,2025-11-01
Кызыл,15,3,11,29,2025-11-01
Кыштым,4,1,5,10,2025-11-01
Лангепас,2,,7,9,2025-11-01
Ленинск-Кузнецкий,1,,11,12,2025-11-01
Липецк,14,2,33,49,2025-11-01
Луховицы,,,1,1,2025-11-01
Лянтор,1,,3,4,2025-11-01
Майкоп,8,3,15,26,2025-11-01
Махачкала,10,8,24,42,2025-11-01
Мегион,,,5,5,2025-11-01
Междуреченск,3,1,6,10,2025-11-01
Мелеуз,1,,17,18,2025-11-01
Миасс,10,2,40,52,2025-11-01
Минск,28,10,125,163,2025-11-01
Михайловск,7,2,2,11,2025-11-01
Мичуринск,4,2,7,13,2025-11-01
Можга,5,1,7,13,2025-11-01
Москва,257,97,516,870,2025-11-01
Муравленко,1,2,3,6,2025-11-01
Муром,5,,34,39,2025-11-01
Набережные Челны,15,8,32,55,2025-11-01
Надым,3,1,12,16,2025-11-01
Назрань,5,1,9,15,2025-11-01
Нальчик,19,6,21,46,2025-11-01
Невинномысск,1,2,6,9,2025-11-01
Нерчинск,,,2,2,2025-11-01
Нефтекамск,2,1,8,11,2025-11-01
Нефтеюганск,7,1,17,25,2025-11-01
Нижневартовск,9,,25,34,2025-11-01
Нижний Новгород (филиал),6,15,7,28,2025-11-01
Нижний Тагил,26,11,71,108,2025-11-01
Нижняя Тура,9,2,2,13,2025-11-01
Новоалтайск (Алтайский край),28,,,28,2025-11-01
Новодвинск,1,1,10,12,2025-11-01
Новокузнецк (главный),10,3,19,32,2025-11-01
Новороссийск,26,4,37,67,2025-11-01
Новосибирск (главный),93,42,179,314,2025-11-01
Новочеркасск,5,1,4,10,2025-11-01
Новый Оскол,,,4,4,2025-11-01
Новый Уренгой,4,,31,35,2025-11-01
Норильск,4,1,11,16,2025-11-01
Ноябрьск,5,,4,9,2025-11-01
Нягань,5,1,2,8,2025-11-01
Обнинск,2,1,13,16,2025-11-01
Озерск,,1,12,13,2025-11-01
Октябрьский (Башкортостан),4,,6,10,2025-11-01
Октябрьский (Пермский край),,1,3,4,2025-11-01
Омск,65,15,94,174,2025-11-01
Оренбург,17,5,20,42,2025-11-01
Орехово-Зуево,3,,2,5,2025-11-01
Орск,5,,,5,2025-11-01
Орёл,8,,10,18,2025-11-01
Остров,1,1,3,5,2025-11-01
Павлодар,18,10,18,46,2025-11-01
Пенза,9,,,9,2025-11-01
Первоуральск,6,1,9,16,2025-11-01
Пермь,29,9,71,109,2025-11-01
Пермь 2,8,5,14,27,2025-11-01
Петрозаводск,4,3,26,33,2025-11-01
Петропавловск,25,9,62,96,2025-11-01
Петропавловск-Камчатский,8,4,29,41,2025-11-01
Петушки,,1,9,10,2025-11-01
Печоры,1,,2,3,2025-11-01
Пласт,1,2,1,4,2025-11-01
Подольск,13,9,27,49,2025-11-01
Пойковский пгт.,,,3,3,2025-11-01
Покров,2,,6,8,2025-11-01
Порхов,,1,2,3,2025-11-01
Прокопьевск,8,1,13,22,2025-11-01
Прохладный,3,,7,10,2025-11-01
Псков,17,4,21,42,2025-11-01
Пыть-Ях,,,4,4,2025-11-01
Пятигорск,9,1,6,16,2025-11-01
"Раменское, Московская обл.",2,2,11,15,2025-11-01
Ростов-на-Дону,89,41,75,205,2025-11-01
Рудный,3,1,6,10,2025-11-01
Рыбинск,5,1,2,8,2025-11-01
Саки,1,1,10,12,2025-11-01
Салават,5,1,8,14,2025-11-01
